geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.54002834804093, 7.618633273526968;"{""coordinates"": [7.618633273526968, 47.54002834804093], ""type"": ""Point""}";82;St. Jakobshalle;St. Jakobs-Strasse;390;4052;Basel;BS;Bei Eingang zu Halle 1, UG, Front Tram (öffentlich zugänglich);Während Öffnungszeiten
47.54002834804093, 7.618633273526968;"{""coordinates"": [7.618633273526968, 47.54002834804093], ""type"": ""Point""}";83;St. Jakobshalle;St. Jakobs-Strasse;390;4052;Basel;BS;Vor Verwaltung, 1 OG (öffentlich zugänglich);Während Öffnungszeiten
47.54002834804093, 7.618633273526968;"{""coordinates"": [7.618633273526968, 47.54002834804093], ""type"": ""Point""}";84;St. Jakobshalle;St. Jakobs-Strasse;390;4052;Basel;BS;Empfang, UG, Front Parkbuchten (nur für Mitarbeitende frei zugänglich);Während Öffnungszeiten
47.559075619021804, 7.5866603507793275;"{""coordinates"": [7.586660350779328, 47.559075619021804], ""type"": ""Point""}";87;Steuerverwaltung Basel-Stadt;Fischmarkt;10;4001;Basel;BS;2. OG Trakt 1, Büro 202;08:00 - 17:00 (Mo-Fr)
47.559075619021804, 7.5866603507793275;"{""coordinates"": [7.586660350779328, 47.559075619021804], ""type"": ""Point""}";88;Steuerverwaltung Basel-Stadt;Fischmarkt;10;4001;Basel;BS;2. OG Trakt 2, Gangmitte links;08:00 - 17:00 (Mo-Fr)
47.559075619021804, 7.5866603507793275;"{""coordinates"": [7.586660350779328, 47.559075619021804], ""type"": ""Point""}";91;Steuerverwaltung Basel-Stadt;Fischmarkt;10;4001;Basel;BS;4. OG Trakt 4, Treppenhaus neben der Tür;08:00 - 17:00 (Mo-Fr)
47.559075619021804, 7.5866603507793275;"{""coordinates"": [7.586660350779328, 47.559075619021804], ""type"": ""Point""}";93;Steuerverwaltung Basel-Stadt;Fischmarkt;10;4001;Basel;BS;6. OG Trakt 2, rechts neben den Aufzügen;08:00 - 17:00 (Mo-Fr)
47.556690649388436, 7.581501487418991;"{""coordinates"": [7.581501487418991, 47.556690649388436], ""type"": ""Point""}";94;Strafgericht Basel-Stadt;Schützenmattstrasse;20;4051;Basel;BS;Parterre bei den Gerichtsälen, rechts hinter Porte;07:30 -11:30 & 13:30-17:00 (Mo-Fr)
47.55734946844664, 7.586406916184647;"{""coordinates"": [7.586406916184647, 47.55734946844664], ""type"": ""Point""}";96;Theater Fauteuil;Spalenberg;12;4051;Basel;BS;Im Eingang, bei der Fauteuil-Publikumsgarderobe. Verfügbarkeit während Vorstellungen: www.fauteuil.ch/spielplan;während Theatervorstellungen
47.55057394772626, 7.597444741613142;"{""coordinates"": [7.597444741613142, 47.55057394772626], ""type"": ""Point""}";99;UBS AG;Gartenstrasse;9;4002;Basel;BS;EG, Schalterhalle;07:30 - 18:00 (Mo-Fr)
47.5550254126546, 7.592436166372595;"{""coordinates"": [7.592436166372595, 47.5550254126546], ""type"": ""Point""}";102;Zivilgericht Basel-Stadt;Bäumleingasse;5;4001;Basel;BS;2. Stock, Gang bei den Gerichtsäälen - vis-a-vis Drucker;07:30 -11:30 & 13:30-17:00 (Mo-Fr)
47.555621997992915, 7.593560517996831;"{""coordinates"": [7.593560517996831, 47.555621997992915], ""type"": ""Point""}";103;Zivilstandesamt;Rittergasse;11;4001;Basel;BS;Defibrillator ist im 1. OG Treppenhaus;Mo-Fr 0800-1100 &  Mo, Di, Fr 1400-1600 & Do 1330-1730
47.574134320543415, 7.568969283342845;"{""coordinates"": [7.568969283342845, 47.574134320543415], ""type"": ""Point""}";104;Club Borderline;Hagenaustrasse;29;4056;Basel;BS;Eingangsbereich oder  Büro 1. Stock;10:00 - 18:00 (Mo - Fr) & 23:00 - 06:00 (Sa)
47.57088615346636, 7.665202596896075;"{""coordinates"": [7.665202596896075, 47.57088615346636], ""type"": ""Point""}";108;Polizeiposten Bettingen;Haupstrasse;88;4126;Bettingen;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden..;08.00 - 12.00 (Mo-Fr). 13.30 - 17.00 (Mo-Fr)
47.592373815672126, 7.655811099023066;"{""coordinates"": [7.655811099023066, 47.592373815672126], ""type"": ""Point""}";113;Gemeindeverwaltung Riehen. Werkhof / Werkdienste;Haselrain;65;4125;Riehen;BS;im Schrank vis à vis der Porte vom Werkhof,. für MA vom Werkhof jederzeit Zugang mit Schlüssel für Aussenstehende während den Schalteröffnungszeiten;08.00 - 12.00 Uhr & 14.00 - 16.30 Uhr. (Mo-Fr)
47.574860000621065, 7.579539995459357;"{""coordinates"": [7.579539995459357, 47.574860000621065], ""type"": ""Point""}";119;Prevomed Medical Center Novartis Campus;Novartis Campus WSJ;103;4056;Basel;BS;öffentlich nicht zugänglich;Montag bis Freitag 07.30 bis 16.30
47.57172999979462, 7.580640001408254;"{""coordinates"": [7.580640001408254, 47.57172999979462], ""type"": ""Point""}";123;Novartis Maingate;Fabrikstrasse;2;4056;Basel;BS;AED am Empfangsdesk verlangen;24/365
47.564259998176034, 7.627989998794865;"{""coordinates"": [7.627989998794865, 47.564259998176034], ""type"": ""Point""}";124;Sportplatz Rheinacker;Landauerstrasse;45;4058;Basel;BS;Garderobe Untergeschoss;Zu Öffnungszeiten
47.57336000052963, 7.581299993577199;"{""coordinates"": [7.581299993577199, 47.57336000052963], ""type"": ""Point""}";130;Novartis Campus Fitorama Fitness WSJ 27;Novartis Campus Strasse B;;4056;Basel;BS;Empfangsdesk Fitnesscenter Novartis Campus;Montag - Freitag 06.30 - 21.00 / Samstag 09.00 - 16.00
47.57414729537244, 7.579615704746405;"{""coordinates"": [7.579615704746405, 47.57414729537244], ""type"": ""Point""}";132;Novartis Sportplatz Hüningen WSJ 391 Restaurant;Novartis Campus Sportplatz;;4056;Basel;BS;Eingangsbereich 1.OG;spezielle Öffungszeiten
47.57206000005443, 7.587339998576982;"{""coordinates"": [7.587339998576982, 47.57206000005443], ""type"": ""Point""}";136;Novartis Klybeck Areal WKL 126;Novartis Werk Klybeck;;4057;Basel;BS;Eingangsbereich;24/365
47.57398999982091, 7.591449994587542;"{""coordinates"": [7.591449994587542, 47.57398999982091], ""type"": ""Point""}";138;Novartis Personalrestaurant Klybeck;Mauerstrasse;1;4057;Basel;BS;Restaurant Eingang rechts;Montag bis Freitag 11.30 - 13.30
47.55057859656917, 7.587527399396118;"{""coordinates"": [7.587527399396118, 47.55057859656917], ""type"": ""Point""}";145;Parkhaus Elisabethen;Steinentorberg;5;4051;Basel;BS;Kassenbereich 2. UG (bei Treppe Aufgang);24/365
