geo_point_2d;geo_shape;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.55991993957819, 7.568061325481099;"{""coordinates"": [7.568061325481099, 47.55991993957819], ""type"": ""Point""}";1006;Annahmestelle Sonderabfall;Sikkens Center Basel;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Rufacherstrasse 78;4055;Basel;061 381 00 72;https://www.sikkens-center.ch/de/sikkens-center/verkaufsstellen/21;Mo-Do: 07:30-12:00 / 13:00-17:00, Fr: 07:30- 12:00 / 13:00-16:00;Tiefbauamt Basel-Stadt
47.55741166652791, 7.582453565098799;"{""coordinates"": [7.582453565098799, 47.55741166652791], ""type"": ""Point""}";1014;Annahmestelle Sonderabfall;Spalen-Apotheke;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Spalenvorstadt 19;4051;Basel;061 261 72 50;;Mo-Fr: 08:00-12:15 / 13:45-18:30, Sa: 08:00-12:15;Tiefbauamt Basel-Stadt
47.55246300919347, 7.567820447134164;"{""coordinates"": [7.567820447134164, 47.55246300919347], ""type"": ""Point""}";1026;Annahmestelle Sonderabfall;St. Gallus-Apotheke;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;St. Galler-Ring 177;4054;Basel;061 301 44 50;https://www.stgallus-apotheke.ch/;Mo-Fr: 07:45-12:15 / 13:30-18:30, Sa: 08:00- 12:15;Tiefbauamt Basel-Stadt
47.54803640673747, 7.61053043751235;"{""coordinates"": [7.61053043751235, 47.54803640673747], ""type"": ""Point""}";1009;Annahmestelle Sonderabfall;TopPharm Apotheke Gellert;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Karl Jaspers-Allee 1;4052;Basel;061 311 05 55;http://www.apotheke.ch/gellert;Mo-Fr: 08:00-12:15 / 13:30-18:30, Sa: 08:00-12:15;Tiefbauamt Basel-Stadt
47.53714722084573, 7.602686012377733;"{""coordinates"": [7.602686012377733, 47.53714722084573], ""type"": ""Point""}";1022;Annahmestelle Sonderabfall;Dreispitz-Apotheke;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Gundeldingerstrasse 488;4053;Basel;061 331 52 46;https://dreispitz-apotheke.ch/;Mo-Fr: 08:00-12:15 / 13:30-18:30, Sa: 08:00-12:15;Tiefbauamt Basel-Stadt
47.55953495160444, 7.597938956946498;"{""coordinates"": [7.597938956946498, 47.55953495160444], ""type"": ""Point""}";1028;Annahmestelle Sonderabfall;Wettstein-Apotheke;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Wettsteinplatz 3;4058;Basel;061 691 20 77;https://www.wettsteinapotheke.ch;Mo-Fr: 08:00-19:00, Sa: 09:00-16:00;Tiefbauamt Basel-Stadt
47.56563484882633, 7.618866816115741;"{""coordinates"": [7.618866816115741, 47.56563484882633], ""type"": ""Point""}";1038;Annahmestelle Sonderabfall;TopPharm Bäumlihof Apotheke;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Bäumlihofstrasse 146;4057;Basel;061 601 14 28;https://www.apotheke.ch/baeumlihof;"Mo - Fr: 08:00-12:15 / 13:30-18:30; Sa: 08:00-16:00";Tiefbauamt Basel-Stadt
47.55756405682985, 7.587468908075726;"{""coordinates"": [7.587468908075726, 47.55756405682985], ""type"": ""Point""}";1032;Annahmestelle Sonderabfall;Coop Vitality Apotheke Am Marktplatz;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Hutgasse 15;4001;Basel;058 878 80 70;https://www.coopvitality.ch/de/coop-vitality-basel-am-marktplatz;Mo-Mi: 08:30-19:00, Do-Fr: 08:30-20:00 Sa: 08:30-18:00;Tiefbauamt Basel-Stadt
47.56579860633584, 7.619267334477168;"{""coordinates"": [7.619267334477168, 47.56579860633584], ""type"": ""Point""}";16001;Verkauf Vignette Basel;Bäumlihofladen GmbH;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Bäumlihofstrasse 148;4058;Basel;+41 (0) 61 601 30 20;;;Amt für Umwelt und Energie Basel-Stadt
47.56114171572546, 7.592463522345633;"{""coordinates"": [7.592463522345633, 47.56114171572546], ""type"": ""Point""}";16007;Verkauf Vignette Basel;Manor Kundendienst;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Greifengasse 22;4058;Basel;+41 (0) 61 685 46 99;;;Amt für Umwelt und Energie Basel-Stadt
47.53714520034475, 7.602645498693296;"{""coordinates"": [7.602645498693296, 47.53714520034475], ""type"": ""Point""}";16008;Verkauf Vignette Basel;Dreispitz-Apotheke;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Gundeldingerstrasse 488;4053;Basel;+41 (0) 61 331 52 46;;;Amt für Umwelt und Energie Basel-Stadt
47.54358638962746, 7.592078785713302;"{""coordinates"": [7.592078785713302, 47.54358638962746], ""type"": ""Point""}";16009;Verkauf Vignette Basel;Gudelitor Aphotheke und Drogerie Wenger GmbH;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Güterstrasse 180;4053;Basel;+41 (0) 61 365 90 80;;;Amt für Umwelt und Energie Basel-Stadt
47.54837830838747, 7.609630009799016;"{""coordinates"": [7.609630009799016, 47.54837830838747], ""type"": ""Point""}";16016;Verkauf Vignette Basel;Metzgerei Zieren GmbH;Verkauf von Sperrgut- und Grüngutvignetten für Basel;St. Alban-Ring 213;4052;Basel;+41 (0) 61 311 42 81;;;Amt für Umwelt und Energie Basel-Stadt
47.56613297193415, 7.590793319642787;"{""coordinates"": [7.590793319642787, 47.56613297193415], ""type"": ""Point""}";16018;Verkauf Vignette Basel;K Kiosk;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Feldbergstrasse 50;4057;Basel;+41 (0) 61 681 00 32;;;Amt für Umwelt und Energie Basel-Stadt
