geo_point_2d;geo_shape;id_rs;name;status;adresse;plz;ort;webseite
47.58482189903569, 7.5920273513730026;"{""coordinates"": [7.592027351373003, 47.58482189903569], ""type"": ""Point""}";32;Bonergasse;1;Bonergasse 71;4057;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.540366986396506, 7.591639641752522;"{""coordinates"": [7.591639641752522, 47.540366986396506], ""type"": ""Point""}";26;Bruderholzweg;1;Gundeldingerstrasse 207;4053;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.552534881530875, 7.59178170974097;"{""coordinates"": [7.59178170974097, 47.552534881530875], ""type"": ""Point""}";77;Henric Petri-Strasse;1;Henric Petri-Strasse 9;4051;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.55917272811141, 7.597610519617463;"{""coordinates"": [7.597610519617463, 47.55917272811141], ""type"": ""Point""}";39;Kirchgasse;1;Kirchgasse 9;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.55906849186349, 7.600263814079832;"{""coordinates"": [7.600263814079832, 47.55906849186349], ""type"": ""Point""}";38;Rheinfelderstrasse;1;Rheinfelderstrasse 35;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.57694368155847, 7.570156064838811;"{""coordinates"": [7.570156064838811, 47.57694368155847], ""type"": ""Point""}";54;Recycling-Hof (Lottner);1;Schlachthofstrasse 18;4056;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.569510872543205, 7.5734604941360315;"{""coordinates"": [7.573460494136032, 47.569510872543205], ""type"": ""Point""}";7;Entenweidstrasse;1;Entenweidstrasse 86;4056;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56130903480399, 7.574208626234995;"{""coordinates"": [7.574208626234995, 47.56130903480399], ""type"": ""Point""}";10;Spalenring;1;Spalenring 1;4055;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.548920371268345, 7.6008598781480865;"{""coordinates"": [7.600859878148087, 47.548920371268345], ""type"": ""Point""}";17;Sevogelstrasse;1;Sevogelstrasse 91;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56807192233738, 7.605976473404683;"{""coordinates"": [7.605976473404683, 47.56807192233738], ""type"": ""Point""}";45;Bad. Bahnhof;1;Schwarzwaldallee 220;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
