id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
55;Velos;Allschwilerplatz;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.55711066838294, 7.570399977953243;"{""coordinates"": [7.570399977953243, 47.55711066838294], ""type"": ""Point""}"
56;Velos;Burgfelderstrasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.56430404086964, 7.568918619827027;"{""coordinates"": [7.568918619827027, 47.56430404086964], ""type"": ""Point""}"
58;Velos;Rufacherstrasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.55831381703153, 7.571538321946189;"{""coordinates"": [7.571538321946189, 47.55831381703153], ""type"": ""Point""}"
59;Velos;Appenzellerstrasse;Gebührenfrei;11;nicht anschliessbar;nein;;;;nein;;47.56082180703767, 7.566622195560905;"{""coordinates"": [7.566622195560905, 47.56082180703767], ""type"": ""Point""}"
60;Velos;Im Witterswilerhof;Gebührenfrei;7;nicht anschliessbar;nein;;;;nein;;47.56037833635604, 7.563550494880913;"{""coordinates"": [7.563550494880913, 47.56037833635604], ""type"": ""Point""}"
61;Velos;St.Johanns-Ring;Gebührenfrei;12;nicht anschliessbar;nein;;;;nein;;47.56579399047315, 7.580130256169031;"{""coordinates"": [7.580130256169031, 47.56579399047315], ""type"": ""Point""}"
62;Velos;Vogesenstrasse;Gebührenfrei;7;nicht anschliessbar;nein;;;;nein;;47.56847543350375, 7.5755646225121165;"{""coordinates"": [7.575564622512116, 47.56847543350375], ""type"": ""Point""}"
64;Velos;Freie Strasse;Gebührenfrei;26;nicht anschliessbar;nein;;;;nein;;47.55522474504908, 7.590919464833727;"{""coordinates"": [7.590919464833727, 47.55522474504908], ""type"": ""Point""}"
65;Velos;Theaterstrasse;Gebührenfrei;27;nicht anschliessbar;nein;;;;nein;;47.55352233952443, 7.590048280714477;"{""coordinates"": [7.590048280714477, 47.55352233952443], ""type"": ""Point""}"
67;Velos;Rümelinsplatz;Gebührenfrei;8;nicht anschliessbar;nein;;;;nein;;47.556987412528464, 7.587266216164735;"{""coordinates"": [7.587266216164735, 47.556987412528464], ""type"": ""Point""}"
72;Velos;Marktplatz;Gebührenfrei;20;nicht anschliessbar;nein;;;;nein;;47.55769838676718, 7.588178968962456;"{""coordinates"": [7.588178968962456, 47.55769838676718], ""type"": ""Point""}"
73;Velos;Elisabethenstrasse;Gebührenfrei;16;nicht anschliessbar;nein;;;;nein;;47.55342876809946, 7.592111301718316;"{""coordinates"": [7.592111301718316, 47.55342876809946], ""type"": ""Point""}"
78;Velos;Jungstrasse;Gebührenfrei;6;nicht anschliessbar;nein;;;;nein;;47.567691403040534, 7.579838556690213;"{""coordinates"": [7.579838556690213, 47.567691403040534], ""type"": ""Point""}"
83;Velos;Hardstrasse;Gebührenfrei;6;nicht anschliessbar;nein;;;;nein;;47.54907436256922, 7.607509994038893;"{""coordinates"": [7.607509994038893, 47.54907436256922], ""type"": ""Point""}"
86;Velos;St.Alban-Anlage;Gebührenfrei;8;nicht anschliessbar;nein;;;;nein;;47.55186057786683, 7.598364503440023;"{""coordinates"": [7.598364503440023, 47.55186057786683], ""type"": ""Point""}"
89;Velos;Gottfried Keller-Strasse;Gebührenfrei;11;nicht anschliessbar;nein;;;;nein;;47.55419006229838, 7.565555793312133;"{""coordinates"": [7.565555793312133, 47.55419006229838], ""type"": ""Point""}"
91;Velos;Chrischonaweglein;Gebührenfrei;6;nicht anschliessbar;nein;;;;nein;;47.558959131465514, 7.600455779917587;"{""coordinates"": [7.600455779917587, 47.558959131465514], ""type"": ""Point""}"
