id_angebot;name;kategorie;beschreibu;strassenr;plz;ort;link;zustaendig;bemerkung;baselinfo;geo_point_2d;geo_shape
285;Wasserstelzen-Schulhaus;Tischtennistisch;Tischtennistisch;Wasserstelzenweg 15;4125;Riehen;;Gemeinde Riehen;;nein;47.57283124569469, 7.639259116631662;"{""coordinates"": [7.639259116631662, 47.57283124569469], ""type"": ""Point""}"
286;Wasserstelzen-Schulhaus;Tischtennistisch;Tischtennistisch;Wasserstelzenweg 15;4125;Riehen;;Gemeinde Riehen;;nein;47.572861045321325, 7.639241420053974;"{""coordinates"": [7.639241420053974, 47.572861045321325], ""type"": ""Point""}"
288;Wasserstelzen-Schulhaus;Tischtennistisch;Tischtennistisch;Wasserstelzenweg 15;4125;Riehen;;Gemeinde Riehen;;nein;47.573151117353824, 7.640008025316517;"{""coordinates"": [7.640008025316517, 47.573151117353824], ""type"": ""Point""}"
290;Wasserstelzen-Schulhaus;Schulsportanlage;Fussball, Mehrzweckplatz, Spielwiese;Wasserstelzenweg 15;4125;Riehen;;Gemeinde Riehen;;nein;47.5728612719656, 7.639735546651696;"{""coordinates"": [7.639735546651696, 47.5728612719656], ""type"": ""Point""}"
291;Wasserstelzen-Schulhaus;Tischtennistisch;Tischtennistisch;Wasserstelzenweg 15;4125;Riehen;;Gemeinde Riehen;;nein;47.57294092591754, 7.640376696513674;"{""coordinates"": [7.640376696513674, 47.57294092591754], ""type"": ""Point""}"
294;Taekwondo-Schule Riehen;Spezialsportanlage;Taekwondo;Lörracherstrasse 60;4125;Riehen;;Taekwondo-Schule Riehen;;nein;47.59234421415294, 7.653739819180453;"{""coordinates"": [7.653739819180453, 47.59234421415294], ""type"": ""Point""}"
295;Gartenbad Bachgraben;Gartenbad;Schwimmen, Beachvolleyball, Fitnessgeräte;Belforterstrasse 135;4055;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/gartenbaeder/gartenbad-bachgraben.html;Sportamt BS;;ja;47.56349037958492, 7.558046948092022;"{""coordinates"": [7.558046948092022, 47.56349037958492], ""type"": ""Point""}"
296;Pruntrutermatte;StreetWorkout_OutdoorFitness;Outdoor Fitness UrbaFit, 10 Geräte;Hans Huber-Strasse 29;4053;Basel;;Sportamt BS;;nein;47.54461329451686, 7.581447057623152;"{""coordinates"": [7.581447057623152, 47.54461329451686], ""type"": ""Point""}"
299;Schützenmattpark;Spezialsportanlage;Hopp-La Park;Schützenmattpark;4054;Basel;https://www.hopp-la.ch/hopp-la-park/;Stadtgärtnerei;nicht Hopla in der Zuständigkeit;nein;47.55236110890202, 7.57417034799388;"{""coordinates"": [7.57417034799388, 47.55236110890202], ""type"": ""Point""}"
3;Beachvolleyball Gymnasium Bäumlihof;Spezialsportanlage;Beachvolleyball;Zu den drei Linden 80;4058;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/sportanlagen-sportzentren/sportplatz-gymnasium-bauemlihof.html;Sportamt BS;;nein;47.568241855999474, 7.626814299391514;"{""coordinates"": [7.626814299391514, 47.568241855999474], ""type"": ""Point""}"
