geo_point_2d;geo_shape;objid;recnum
47.539058317485996, 7.624534523055574;"{""coordinates"": [[7.624359929331466, 47.53900721560548], [7.62459810508147, 47.53903290827731], [7.624631886172177, 47.53919465273538]], ""type"": ""LineString""}";331;55
47.53740604741364, 7.624810924857582;"{""coordinates"": [[7.62461429774674, 47.53740632635663], [7.624847021089748, 47.53736349444297], [7.624975932424049, 47.53750155884077]], ""type"": ""LineString""}";341;60
47.52991299409169, 7.588650131716285;"{""coordinates"": [[7.588461177851816, 47.529974505834346], [7.588639955444785, 47.52986491992788], [7.588847188216963, 47.529948457317445]], ""type"": ""LineString""}";347;63
47.51073710855213, 7.577940522421426;"{""coordinates"": [[7.578134695631555, 47.51068951556773], [7.577939823818435, 47.51078562345218], [7.577746915625039, 47.510687667777674]], ""type"": ""LineString""}";351;65
47.51073710855213, 7.577940522421426;"{""coordinates"": [[7.578134695631555, 47.51068951556773], [7.577939823818435, 47.51078562345218], [7.577746915625039, 47.510687667777674]], ""type"": ""LineString""}";353;66
47.52508930350489, 7.602568900725041;"{""coordinates"": [[7.602454852644326, 47.52521909875834], [7.602509269696203, 47.525059993140864], [7.602749807158982, 47.525048447999765]], ""type"": ""LineString""}";365;72
47.5414271142769, 7.545320114532792;"{""coordinates"": [[7.54533055221957, 47.54157365645197], [7.545248441335527, 47.54142009975346], [7.545441089482035, 47.541321792712665]], ""type"": ""LineString""}";371;75
47.54243332745245, 7.548060123149036;"{""coordinates"": [[7.547946289476696, 47.54256324225465], [7.548000382785942, 47.542404091795134], [7.548240983352055, 47.54239230927324]], ""type"": ""LineString""}";375;77
47.54231132231412, 7.547903002550873;"{""coordinates"": [[7.547789174721101, 47.54244123577247], [7.54784326837705, 47.542282085379476], [7.548083855142689, 47.542270303196]], ""type"": ""LineString""}";379;79
47.54231132231412, 7.547903002550873;"{""coordinates"": [[7.547789174721101, 47.54244123577247], [7.54784326837705, 47.542282085379476], [7.548083855142689, 47.542270303196]], ""type"": ""LineString""}";381;80
47.544062498566376, 7.551461086638199;"{""coordinates"": [[7.551453825136321, 47.54421058715513], [7.551389616189477, 47.5440531772998], [7.551592977280273, 47.54396532750835]], ""type"": ""LineString""}";387;83
47.54399768127509, 7.551205181668452;"{""coordinates"": [[7.551197926769239, 47.54414577318399], [7.551133705357908, 47.54398835420221], [7.551337079925613, 47.543900513839084]], ""type"": ""LineString""}";391;85
47.51742457994784, 7.555986770590436;"{""coordinates"": [[7.556158399477228, 47.51747987755609], [7.555921854673024, 47.51744838526189], [7.555896765373273, 47.51728593653547]], ""type"": ""LineString""}";407;93
47.51742457994784, 7.555986770590436;"{""coordinates"": [[7.556158399477228, 47.51747987755609], [7.555921854673024, 47.51744838526189], [7.555896765373273, 47.51728593653547]], ""type"": ""LineString""}";409;94
47.51753483159121, 7.555811805972625;"{""coordinates"": [[7.555983434968332, 47.51759012940847], [7.555746889776845, 47.5175586367579], [7.555721800960165, 47.51739618799971]], ""type"": ""LineString""}";413;96
47.52220730214427, 7.615378056627007;"{""coordinates"": [[7.615487390808269, 47.52232018005584], [7.615306367813933, 47.52221231297665], [7.615405388964963, 47.522063386331276]], ""type"": ""LineString""}";415;97
47.52735400481751, 7.6199656467581764;"{""coordinates"": [[7.620017299610627, 47.527492104480245], [7.619893981549181, 47.52735176796836], [7.620055809101427, 47.52723066561584]], ""type"": ""LineString""}";419;99
47.52779145909087, 7.622426672224625;"{""coordinates"": [[7.622230128347185, 47.52779159141386], [7.622462865209155, 47.52774894394024], [7.622591481737511, 47.527887101817235]], ""type"": ""LineString""}";423;101
47.52779145909087, 7.622426672224625;"{""coordinates"": [[7.622230128347185, 47.52779159141386], [7.622462865209155, 47.52774894394024], [7.622591481737511, 47.527887101817235]], ""type"": ""LineString""}";425;102
47.52764014276316, 7.6225115952971985;"{""coordinates"": [[7.622315043520738, 47.527640280035946], [7.622547792899017, 47.52759762337457], [7.622676409312825, 47.527735790158346]], ""type"": ""LineString""}";427;103
47.5280189853226, 7.623676690245385;"{""coordinates"": [[7.623826080446104, 47.52790985842385], [7.623722618684192, 47.52805737802697], [7.623483995126123, 47.52803374383275]], ""type"": ""LineString""}";437;108
47.542382391268504, 7.559029952730401;"{""coordinates"": [[7.558961434463741, 47.5425263639999], [7.558961917296915, 47.54236304556311], [7.559192645224837, 47.542315347311934]], ""type"": ""LineString""}";449;114
47.53844180799929, 7.556000498544936;"{""coordinates"": [[7.55580621796015, 47.53848936134846], [7.556001231523151, 47.53839329167118], [7.556194186997296, 47.53849129165397]], ""type"": ""LineString""}";463;121
47.531015076051666, 7.561795086802219;"{""coordinates"": [[7.561661440774122, 47.53113479983502], [7.561741919680906, 47.530980848831554], [7.561982880254643, 47.530987690432084]], ""type"": ""LineString""}";469;124
47.53088175455639, 7.561659521562172;"{""coordinates"": [[7.561525881628427, 47.53100147455915], [7.561606360726172, 47.53084752364273], [7.561847307418589, 47.530854374533554]], ""type"": ""LineString""}";473;126
47.53269102833922, 7.56361704886654;"{""coordinates"": [[7.563467410488485, 47.53279996455675], [7.563571248262564, 47.532652579829886], [7.563809813037762, 47.53267647245334]], ""type"": ""LineString""}";477;128
47.533798817382724, 7.565107952633936;"{""coordinates"": [[7.565109209534303, 47.533946300067136], [7.565036370970405, 47.53379062435319], [7.565234717983774, 47.533697710127754]], ""type"": ""LineString""}";483;131
47.53516985237891, 7.567502656407404;"{""coordinates"": [[7.567419977796686, 47.53531057737306], [7.567436491757704, 47.53514764547532], [7.567671336316527, 47.53511043037455]], ""type"": ""LineString""}";487;133
47.53721458100866, 7.570534935947198;"{""coordinates"": [[7.570413915601954, 47.5373411346834], [7.570477316663593, 47.53718357272421], [7.570718382863141, 47.53717829039468]], ""type"": ""LineString""}";491;135
47.53721458100866, 7.570534935947198;"{""coordinates"": [[7.570413915601954, 47.5373411346834], [7.570477316663593, 47.53718357272421], [7.570718382863141, 47.53717829039468]], ""type"": ""LineString""}";493;136
47.53708844157096, 7.570385132503066;"{""coordinates"": [[7.570264112183407, 47.537214995043826], [7.570327513538995, 47.53705743315969], [7.570568579180693, 47.53705215114186]], ""type"": ""LineString""}";497;138
47.5363989931219, 7.577473092193898;"{""coordinates"": [[7.577621346837187, 47.53628899107619], [7.577519641116632, 47.53643706924115], [7.577280712008872, 47.53641476123593]], ""type"": ""LineString""}";503;141
47.52925106935184, 7.5822631195227475;"{""coordinates"": [[7.582220926255711, 47.52911041220518], [7.582334809898067, 47.52925436182058], [7.582165095135615, 47.52937041138056]], ""type"": ""LineString""}";517;148
47.53231985702399, 7.587376493756035;"{""coordinates"": [[7.587199706755802, 47.53227217936408], [7.587438843438739, 47.532293135562924], [7.587479569849522, 47.53245412672724]], ""type"": ""LineString""}";521;150
47.53220208827516, 7.587540485723556;"{""coordinates"": [[7.587363691397107, 47.53215441203537], [7.587602840894201, 47.53217536787939], [7.587643567711897, 47.53233635899267]], ""type"": ""LineString""}";523;151
47.536541981182644, 7.588064973995458;"{""coordinates"": [[7.587915136558814, 47.53665078917996], [7.58801925957157, 47.53650348121964], [7.588257813528406, 47.536527584296785]], ""type"": ""LineString""}";533;156
47.538971019260885, 7.591328942341061;"{""coordinates"": [[7.591134678387141, 47.539018643056714], [7.591329629892133, 47.53892249591187], [7.591522652510253, 47.539020445979794]], ""type"": ""LineString""}";535;157
47.53880913834676, 7.591328493824481;"{""coordinates"": [[7.591134229559693, 47.53885675539987], [7.59132918049673, 47.538760617244016], [7.591522202525456, 47.53885856731835]], ""type"": ""LineString""}";539;159
47.539454764337734, 7.587452109563405;"{""coordinates"": [[7.587517228337417, 47.53958852723328], [7.587380450407708, 47.53945403791184], [7.587530136995012, 47.539325955059795]], ""type"": ""LineString""}";545;162
