politische_gemeinde;bfs_nr_gemeinde;bezirk_name;bezirk_nr;ortschaft;einwohner_total;einwohner_maenner;einwohner_frauen;einwohner_0_19;einwohner_20_39;einwohner_40_64;einwohner_65plus;einwohner_schweizer;einwohner_auslaender_total;einwohner_auslaender_deutsche;einwohner_evang;einwohner_kath;einwohner_uebrige
Basadingen-Schlattingen;4536;Frauenfeld;2012;Unterstammheim;x;x;x;x;x;x;x;x;x;x;x;x;x
Basadingen-Schlattingen;4536;Frauenfeld;2012;Basadingen;1069;540;529;221;226;420;202;921;148;52;412;287;370
Berg;4891;Weinfelden;2015;Mauren;479;267;212;103;109;207;60;411;68;18;274;90;115
Berg;4891;Weinfelden;2015;Graltshausen;88;49;39;17;18;35;18;82;6;x;46;20;22
Berg;4891;Weinfelden;2015;Opfershofen;18;11;7;x;x;x;x;x;x;x;x;x;x
Berg;4891;Weinfelden;2015;Andhausen;201;105;96;51;58;74;18;171;30;19;112;51;38
Berg;4891;Weinfelden;2015;Berg;2483;1221;1262;605;589;882;407;2117;366;158;1107;697;679
Berg;4891;Weinfelden;2015;Guntershausen b. Berg;154;73;81;29;36;52;37;143;11;x;70;21;63
Berg;4891;Weinfelden;2015;Weinfelden;21;9;12;x;x;x;x;x;x;x;x;x;x
Berlingen;4801;Frauenfeld;2012;Berlingen;894;446;448;130;164;334;266;670;224;152;394;202;298
Bettwiesen;4716;Münchwilen;2014;Bettwiesen;1223;641;582;234;351;466;172;945;278;50;272;552;399
Bichelsee-Balterswil;4721;Münchwilen;2014;Bichelsee;963;495;468;200;205;363;195;885;78;31;337;327;299
Bichelsee-Balterswil;4721;Münchwilen;2014;Balterswil;1910;997;913;442;494;686;288;1671;239;79;543;725;642
Birwinken;4901;Weinfelden;2015;Andwil;489;239;250;110;126;183;70;434;55;28;235;86;168
Birwinken;4901;Weinfelden;2015;Birwinken;171;83;88;25;44;74;28;158;13;x;93;32;46
Birwinken;4901;Weinfelden;2015;Mattwil;362;180;182;73;100;123;66;285;77;38;124;89;149
Birwinken;4901;Weinfelden;2015;Buch b. Kümmertshausen;62;28;34;14;15;24;9;x;x;x;35;8;19
Birwinken;4901;Weinfelden;2015;Happerswil;173;88;85;41;40;56;36;162;11;7;111;15;47
Birwinken;4901;Weinfelden;2015;Klarsreuti;83;31;52;31;11;27;14;x;x;x;34;12;37
Bischofszell;4471;Weinfelden;2015;Bischofszell;5429;2734;2695;1112;1476;1841;1000;3917;1512;235;1481;1953;1995
Bischofszell;4471;Weinfelden;2015;Halden;244;122;122;41;58;91;54;215;29;x;87;101;56
Bischofszell;4471;Weinfelden;2015;Schweizersholz;290;160;130;66;66;107;51;267;23;x;120;89;81
Bottighofen;4643;Kreuzlingen;2013;Bottighofen;2295;1153;1142;435;422;895;543;1524;771;589;812;647;836
Braunau;4723;Münchwilen;2014;Braunau;814;413;401;177;243;281;113;739;75;31;295;297;222
Bürglen;4911;Weinfelden;2015;Bürglen;2981;1513;1468;588;977;925;491;1964;1017;187;816;812;1353
Bürglen;4911;Weinfelden;2015;Istighofen;562;291;271;93;164;231;74;436;126;24;175;187;200
Bürglen;4911;Weinfelden;2015;Opfershofen;105;59;46;20;26;36;23;92;13;7;61;13;31
Bürglen;4911;Weinfelden;2015;Leimbach;301;148;153;61;81;104;55;272;29;20;119;65;117
Bussnang;4921;Weinfelden;2015;Bussnang;551;288;263;106;188;174;83;409;142;71;226;137;188
Bussnang;4921;Weinfelden;2015;Friltschen;323;160;163;93;97;89;44;295;28;14;155;68;100
Bussnang;4921;Weinfelden;2015;Mettlen;531;278;253;134;151;166;80;440;91;37;185;183;163
Bussnang;4921;Weinfelden;2015;Oberbussnang;106;53;53;19;21;48;18;98;8;x;52;24;30
Bussnang;4921;Weinfelden;2015;Oppikon;130;75;55;29;24;47;30;x;x;x;60;44;26
Bussnang;4921;Weinfelden;2015;Rothenhausen;528;271;257;109;155;192;72;454;74;27;232;99;197
Bussnang;4921;Weinfelden;2015;Stehrenberg;98;51;47;31;29;30;8;x;x;x;46;44;8
Bussnang;4921;Weinfelden;2015;Lanterswil;102;50;52;14;27;46;15;95;7;x;34;24;44
Bussnang;4921;Weinfelden;2015;Märwil;x;x;x;x;x;x;x;x;x;x;x;x;x
Bussnang;4921;Weinfelden;2015;Schmidshof;45;25;20;x;11;18;x;x;x;x;x;x;x
Bussnang;4921;Weinfelden;2015;Istighofen;38;23;15;x;10;18;x;x;x;x;x;x;x
Diessenhofen;4545;Frauenfeld;2012;Schlatt;x;x;x;x;x;x;x;x;x;x;x;x;x
Diessenhofen;4545;Frauenfeld;2012;Diessenhofen;3892;1985;1907;723;1038;1351;780;2472;1420;252;1143;1267;1482
Diessenhofen;4545;Frauenfeld;2012;Willisdorf;137;69;68;28;24;49;36;116;21;11;64;27;46
Dozwil;4406;Arbon;2011;Dozwil;684;348;336;153;153;246;132;578;106;41;200;156;328
Egnach;4411;Arbon;2011;Egnach;2056;1047;1009;460;485;773;338;1713;343;93;781;617;658
Egnach;4411;Arbon;2011;Neukirch (Egnach);1655;839;816;348;408;609;290;1479;176;55;685;501;469
Egnach;4411;Arbon;2011;Winden;325;157;168;73;73;119;60;317;8;x;171;84;70
Egnach;4411;Arbon;2011;Steinebrunn;651;353;298;152;154;253;92;554;97;x;237;234;180
Erlen;4476;Weinfelden;2015;Ennetaach;282;146;136;58;90;84;50;221;61;16;97;80;105
Erlen;4476;Weinfelden;2015;Riedt b. Erlen;964;498;466;247;284;335;98;702;262;72;317;260;387
Erlen;4476;Weinfelden;2015;Buchackern;190;100;90;47;54;67;22;170;20;15;67;52;71
Erlen;4476;Weinfelden;2015;Engishofen;181;89;92;38;56;62;25;165;16;7;111;31;39
Erlen;4476;Weinfelden;2015;Erlen;1884;965;919;458;490;657;279;1266;618;123;563;563;758
Erlen;4476;Weinfelden;2015;Heldswil;x;x;x;x;x;x;x;x;x;x;x;x;x
Erlen;4476;Weinfelden;2015;Kümmertshausen;263;129;134;56;52;110;45;235;28;14;129;38;96
Ermatingen;4646;Kreuzlingen;2013;Triboltingen;447;222;225;76;114;177;80;323;124;96;181;111;155
Ermatingen;4646;Kreuzlingen;2013;Ermatingen;3074;1533;1541;561;648;1184;681;2078;996;705;1168;818;1088
Eschenz;4806;Frauenfeld;2012;Eschenz;1833;934;899;357;390;710;376;1472;361;155;600;569;664
Eschlikon;4724;Münchwilen;2014;Sirnach;x;x;x;x;x;x;x;x;x;x;x;x;x
Eschlikon;4724;Münchwilen;2014;Eschlikon;3210;1614;1596;595;923;1082;610;2717;493;127;1096;1060;1054
Eschlikon;4724;Münchwilen;2014;Wallenwil;1254;655;599;294;297;475;188;1112;142;56;439;468;347
Felben-Wellhausen;4561;Frauenfeld;2012;Frauenfeld;x;x;x;x;x;x;x;x;x;x;x;x;x
Felben-Wellhausen;4561;Frauenfeld;2012;Felben-Wellhausen;2858;1489;1369;604;743;1057;454;2269;589;155;986;880;992
Fischingen;4726;Münchwilen;2014;Sternenberg (ZH);15;7;8;x;x;8;x;x;x;x;x;x;x
Fischingen;4726;Münchwilen;2014;Au;132;68;64;41;31;45;15;x;x;x;29;81;22
Fischingen;4726;Münchwilen;2014;Dussnang;1280;624;656;278;281;482;239;1192;88;39;418;514;348
Fischingen;4726;Münchwilen;2014;Fischingen;433;226;207;93;130;142;68;383;50;23;79;244;110
Fischingen;4726;Münchwilen;2014;Oberwangen;797;410;387;185;195;287;130;728;69;32;251;361;185
Fischingen;4726;Münchwilen;2014;Schmidrüti (ZH);40;20;20;x;x;14;x;34;6;x;x;x;x
Fischingen;4726;Münchwilen;2014;Wiezikon b. Sirnach;95;47;48;19;20;36;20;89;6;x;36;39;20
Frauenfeld;4566;Frauenfeld;2012;Felben-Wellhausen;x;x;x;x;x;x;x;x;x;x;x;x;x
