,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
147,10149,10193,GR,3598,St. Martin,St. Martin,11,1,1000,20,01.01.1960,1991,24,31.12.2000,31.12.2000
148,10150,10164,GR,3781,Bever,Bever,11,1,1000,20,01.01.1960,2072,24,31.12.2000,31.12.2000
149,10151,10106,FR,2110,Villarsiviriaux,Villarsiviriaux,11,1,1000,20,01.01.1960,1937,29,31.12.2000,31.12.2000
150,10152,10167,GR,3901,Chur,Chur,11,1,1000,20,01.01.1960,2117,24,31.12.2000,31.12.2000
151,10153,10175,GR,3892,St. Antönien Ascharina,St. Antönien Ascharina,11,1,1000,20,01.01.1960,2115,24,31.12.2000,31.12.2000
152,10154,10175,GR,3891,Luzein,Luzein,11,1,1000,20,01.01.1960,2114,24,31.12.2000,31.12.2000
153,10155,10175,GR,3883,Saas,Saas,11,1,1000,20,01.01.1960,2113,24,31.12.2000,31.12.2000
154,10156,10175,GR,3882,Küblis,Küblis,11,1,1000,20,01.01.1960,2112,24,31.12.2000,31.12.2000
155,10157,10098,AR,3023,Speicher,Speicher,11,1,1000,20,01.01.1960,,,,01.01.1960
156,10158,10175,GR,3862,Furna,Furna,11,1,1000,20,01.01.1960,2108,24,31.12.2000,31.12.2000
157,10159,10035,VS,6011,Zwischbergen,Zwischbergen,11,1,1000,20,01.01.1960,,,,01.01.1960
158,10160,10175,GR,3861,Fideris,Fideris,11,1,1000,20,01.01.1960,2107,24,31.12.2000,31.12.2000
159,10161,10175,GR,3851,Davos,Davos,11,1,1000,20,01.01.1960,2106,24,31.12.2000,31.12.2000
160,10162,10104,FR,2228,Villars-sur-Glâne,Villars-sur-Glâne,11,1,1000,20,01.01.1960,,,,01.01.1960
161,10163,10050,VD,5538,Villars-Tiercelin,Villars-Tiercelin,11,1,1000,20,01.01.1960,2441,24,31.08.2006,31.08.2006
162,10164,10165,GR,3804,Buseno,Buseno,11,1,1000,20,01.01.1960,2085,24,31.12.2000,31.12.2000
163,10165,10104,FR,2230,Villarsel-sur-Marly,Villarsel-sur-Marly,11,1,1000,20,01.01.1960,,,,01.01.1960
164,10166,10162,GR,3733,Tamins,Tamins,11,1,1000,20,01.01.1960,2053,24,31.12.2000,31.12.2000
165,10167,10105,FR,2159,Villarvolard,Villarvolard,11,1,1000,20,01.01.1960,3183,29,31.12.2010,31.12.2010
166,10168,10165,GR,3836,Verdabbio,Verdabbio,11,1,1000,20,01.01.1960,2099,24,31.12.2000,31.12.2000
167,10169,10165,GR,3835,San Vittore,San Vittore,11,1,1000,20,01.01.1960,2098,24,31.12.2000,31.12.2000
168,10170,10165,GR,3834,Roveredo (GR),Roveredo (GR),11,1,1000,20,01.01.1960,2097,24,31.12.2000,31.12.2000
169,10171,10165,GR,3833,Leggia,Leggia,11,1,1000,20,01.01.1960,2096,24,31.12.2000,31.12.2000
170,10172,10165,GR,3832,Grono,Grono,11,1,1000,20,01.01.1960,2095,24,31.12.2000,31.12.2000
171,10173,10165,GR,3831,Cama,Cama,11,1,1000,20,01.01.1960,2094,24,31.12.2000,31.12.2000
172,10174,10165,GR,3823,Soazza,Soazza,11,1,1000,20,01.01.1960,2093,24,31.12.2000,31.12.2000
173,10175,10165,GR,3822,Mesocco,Mesocco,11,1,1000,20,01.01.1960,2092,24,31.12.2000,31.12.2000
174,10176,10165,GR,3821,Lostallo,Lostallo,11,1,1000,20,01.01.1960,2091,24,31.12.2000,31.12.2000
175,10177,10165,GR,3811,Selma,Selma,11,1,1000,20,01.01.1960,2090,24,31.12.2000,31.12.2000
176,10178,10165,GR,3810,Santa Maria in Calanca,Santa Maria in Calanca,11,1,1000,20,01.01.1960,2089,24,31.12.2000,31.12.2000
177,10179,10041,VD,5830,Villarzel,Villarzel,11,1,1000,20,01.01.1960,2338,26,30.06.2006,30.06.2006
178,10180,10104,FR,2229,Villarsel-le-Gibloux,Villarsel-le-Gibloux,11,1,1000,20,01.01.1960,2172,29,31.12.2002,31.12.2002
179,10181,10166,GR,3633,Fürstenau,Fürstenau,11,1,1000,20,01.01.1960,2008,24,31.12.2000,31.12.2000
180,10182,10163,GR,3741,Ardez,Ardez,11,1,1000,20,01.01.1960,2055,24,31.12.2000,31.12.2000
181,10183,10166,GR,3662,Flerden,Flerden,11,1,1000,20,01.01.1960,2021,24,31.12.2000,31.12.2000
182,10184,10166,GR,3661,Cazis,Cazis,11,1,1000,20,01.01.1960,2020,24,31.12.2000,31.12.2000
183,10185,10166,GR,3652,Tenna,Tenna,11,1,1000,20,01.01.1960,2019,24,31.12.2000,31.12.2000
184,10186,10166,GR,3651,Safien,Safien,11,1,1000,20,01.01.1960,2018,24,31.12.2000,31.12.2000
185,10187,10166,GR,3642,Tumegl/Tomils,Tumegl/Tomils,11,1,1000,20,01.01.1960,2017,24,31.12.2000,31.12.2000
186,10188,10166,GR,3641,Trans,Trans,11,1,1000,20,01.01.1960,2016,24,31.12.2000,31.12.2000
187,10189,10166,GR,3640,Sils im Domleschg,Sils im Domleschg,11,1,1000,20,01.01.1960,2015,24,31.12.2000,31.12.2000
